row_id,row_type,bone,cube_id,cube_index,parent_bone,Mustang origin,Mustang size,Mustang inflate,Mustang pivot,Mustang rotation,Ardennes origin,Ardennes size,Ardennes inflate,Ardennes pivot,Ardennes rotation,Kladruber origin,Kladruber size,Kladruber inflate,Kladruber pivot,Kladruber rotation,Fjord origin,Fjord size,Fjord inflate,Fjord pivot,Fjord rotation,Thoroughbred origin,Thoroughbred size,Thoroughbred inflate,Thoroughbred pivot,Thoroughbred rotation,Friesian origin,Friesian size,Friesian inflate,Friesian pivot,Friesian rotation,Irish Cob origin,Irish Cob size,Irish Cob inflate,Irish Cob pivot,Irish Cob rotation,American Quarter origin,American Quarter size,American Quarter inflate,American Quarter pivot,American Quarter rotation,Percheron origin,Percheron size,Percheron inflate,Percheron pivot,Percheron rotation,Selle Francais origin,Selle Francais size,Selle Francais inflate,Selle Francais pivot,Selle Francais rotation,Marwari origin,Marwari size,Marwari inflate,Marwari pivot,Marwari rotation,Mongolian origin,Mongolian size,Mongolian inflate,Mongolian pivot,Mongolian rotation,Shire origin,Shire size,Shire inflate,Shire pivot,Shire rotation,Akhal-Teke origin,Akhal-Teke size,Akhal-Teke inflate,Akhal-Teke pivot,Akhal-Teke rotation,American Soldier origin,American Soldier size,American Soldier inflate,American Soldier pivot,American Soldier rotation,Welsh origin,Welsh size,Welsh inflate,Welsh pivot,Welsh rotation,Connemara origin,Connemara size,Connemara inflate,Connemara pivot,Connemara rotation,Haflinger origin,Haflinger size,Haflinger inflate,Haflinger pivot,Haflinger rotation,Oldenburger origin,Oldenburger size,Oldenburger inflate,Oldenburger pivot,Oldenburger rotation,Shetland origin,Shetland size,Shetland inflate,Shetland pivot,Shetland rotation,Standardbred origin,Standardbred size,Standardbred inflate,Standardbred pivot,Standardbred rotation,Trakehner origin,Trakehner size,Trakehner inflate,Trakehner pivot,Trakehner rotation,Boulonnais origin,Boulonnais size,Boulonnais inflate,Boulonnais pivot,Boulonnais rotation
front_left_calf_c1,cube,front_left_calf,front_left_calf_c1,1,front_left_calf,"[1.48278, 1.97704, -12.35652]","[2.96557, 8.8967, 3.45983]",0,,,"[1.08278, 1.97704, -12.55652]","[3.36557, 8.8967, 3.85983]",0,,,"[1.7014, 2.1352, -13.14504]","[3.00282, 9.60844, 3.53661]",0,,,"[1.40864, 1.87819, -11.73869]","[2.81729, 8.45186, 3.28683]",0,,,"[1.74106, 2.17474, -13.59217]","[3.04213, 9.78637, 3.58581]",0,,,"[1.52106, 2.17474, -13.59217]","[3.37212, 9.78637, 3.91581]",0,,,"[1.28278, 1.97704, -12.35652]","[3.16557, 8.8967, 3.65983]",0,,,"[1.58278, 1.97704, -12.35652]","[2.86557, 8.8967, 3.35983]",0,,,"[1.58488, 2.36652, -14.79076]","[3.73979, 10.64934, 4.33142]",0,,,"[1.58278, 1.97704, -12.35652]","[2.86557, 8.8967, 3.35983]",0,,,"[1.58278, 1.97704, -12.05652]","[2.76557, 8.8967, 3.15983]",0,,,"[1.3345, 1.77934, -11.12087]","[2.66901, 8.00703, 3.11385]",0,,,"[1.57934, 2.37245, -15.02782]","[3.75868, 10.67604, 4.35179]",0,,,"[1.75401, 2.066, -12.71256]","[2.69002, 9.29705, 3.20652]",0,,,"[1.47934, 2.37245, -15.12782]","[3.85868, 10.67604, 4.45179]",0,,,"[1.28622, 1.58163, -9.48522]","[2.17246, 7.11736, 2.36787]",0,,,"[1.26622, 1.58163, -9.72522]","[2.21246, 7.11736, 2.60786]",0,,,"[1.50864, 1.87819, -11.43869]","[2.61729, 8.45187, 2.98684]",0,,,"[1.66192, 2.07589, -12.65935]","[2.90385, 9.34154, 3.31782]",0,,,"[0.91087, 1.3345, -8.52065]","[2.18176, 6.00528, 2.51538]",0,,,"[1.58278, 1.97704, -12.05652]","[2.76557, 8.8967, 3.15983]",0,,,"[1.58278, 1.97704, -12.05652]","[2.76557, 8.8967, 3.15983]",0,,,"[1.43106, 2.17474, -14.09217]","[3.66213, 9.78637, 4.30581]",0,,
front_left_feathering,bone,front_left_feathering,,,front_left_calf,,,,"[2.96556, 8.66952, -9.68806]",,,,,"[2.96556, 8.66952, -9.68806]",,,,,"[3.2028, 9.36308, -10.4631]",,,,,"[2.81728, 8.23604, -9.20366]",,,,,"[3.26212, 9.53647, -10.65687]",,,,,"[3.26212, 9.53647, -10.65687]",,,,,"[2.96556, 8.66952, -9.68806]",,,,,"[2.96556, 8.66952, -9.68806]",,,,,"[3.54978, 10.37742, -11.59661]","[2.5, 0, 0]",,,,"[2.96556, 8.66952, -9.68806]",,,,,"[2.96556, 8.66952, -9.68806]",,,,,"[2.669, 7.80257, -8.71925]",,,,,"[3.55867, 10.40342, -11.62567]",,,,,"[3.09901, 9.05965, -10.12403]",,,,,"[3.55867, 10.40342, -11.62567]","[2.5, 0, 0]",,,,"[2.37245, 6.93562, -7.75045]",,,,,"[2.37245, 6.93562, -7.75045]",,,,,"[2.81728, 8.23604, -9.20366]",,,,,"[3.11384, 9.103, -10.17246]",,,,,"[2.00175, 5.85193, -6.53944]",,,,,"[2.96556, 8.66952, -9.68806]",,,,,"[2.96556, 8.66952, -9.68806]",,,,,"[3.26212, 9.53647, -10.65687]",
front_left_feathering_c1,cube,front_left_feathering,front_left_feathering_c1,1,front_left_feathering,"[1.48255, 0.60929, -11.37995]","[2.96603, 8.31108, 3.46029]",-0.01,"[2.96556, 4.47179, -9.64981]","[7.5, 0, 0]","[1.08255, 0.60929, -11.37995]","[3.36603, 8.31108, 3.86029]",-0.01,"[2.96556, 4.47179, -9.44981]","[10, 0, 0]","[1.70195, 0.65883, -12.28955]","[3.00172, 8.97437, 3.73552]",-0.01,"[3.2028, 4.82953, -10.42179]","[7.5, 0, 0]","[1.40792, 0.57833, -10.81145]","[2.81873, 7.89652, 3.28827]",-0.01,"[2.81728, 4.2482, -9.16732]","[7.5, 0, 0]","[1.7418, 0.67122, -12.51694]","[3.04064, 9.14019, 3.58431]",-0.01,"[3.26212, 4.91897, -10.61479]","[7.5, 0, 0]","[1.5218, 0.67122, -12.51694]","[3.37064, 9.14019, 3.91431]",-0.01,"[3.26212, 4.91897, -10.61479]","[7.5, 0, 0]","[1.28255, 0.60929, -11.37995]","[3.16603, 8.31108, 3.66029]",-0.01,"[2.96556, 4.47179, -9.64981]","[7.5, 0, 0]","[1.58255, 0.60929, -11.37995]","[2.86603, 8.31108, 3.36029]",-0.01,"[2.96556, 4.47179, -9.64981]","[7.5, 0, 0]","[1.58658, 0.73129, -13.61983]","[3.7364, 9.94443, 4.32803]",-0.01,"[3.54978, 5.35274, -11.55082]","[7.5, 0, 0]","[1.58255, 0.60929, -11.37995]","[2.86603, 8.31108, 3.36029]",-0.01,"[2.96556, 4.47179, -9.64981]","[7.5, 0, 0]","[1.58255, 0.60929, -11.37995]","[2.76603, 8.31108, 3.46029]",-0.01,"[2.96556, 4.47179, -9.64981]","[7.5, 0, 0]","[1.33329, 0.54736, -10.24295]","[2.67143, 7.48197, 3.11626]",-0.01,"[2.669, 4.02461, -8.68483]","[7.5, 0, 0]","[1.58106, 0.73315, -13.85394]","[3.75524, 9.96929, 4.34835]",-0.01,"[3.55867, 5.36615, -11.57977]","[7.5, 0, 0]","[1.75421, 0.63716, -11.89159]","[2.68961, 8.68418, 3.40609]",-0.01,"[3.09901, 4.67302, -10.08405]","[7.5, 0, 0]","[1.48106, 0.73315, -13.95394]","[3.85524, 9.96929, 4.44835]",-0.01,"[3.55867, 5.36615, -11.57977]","[7.5, 0, 0]","[1.28404, 0.48543, -8.70596]","[2.17682, 6.65287, 2.37223]",-0.01,"[2.37245, 3.57743, -7.71985]","[7.5, 0, 0]","[1.26404, 0.48543, -9.10596]","[2.21682, 6.65286, 2.77223]",-0.01,"[2.37245, 3.57743, -7.71985]","[7.5, 0, 0]","[1.50792, 0.57833, -10.81145]","[2.61873, 7.89653, 3.28828]",-0.01,"[2.81728, 4.2482, -9.16732]","[7.5, 0, 0]","[1.66218, 0.64025, -11.94845]","[2.90333, 8.72563, 3.6323]",-0.01,"[3.11384, 4.69538, -10.1323]","[7.5, 0, 0]","[0.90747, 0.40802, -7.68471]","[2.18857, 5.61648, 2.34219]",-0.01,"[2.00175, 3.01846, -6.51362]","[7.5, 0, 0]","[1.58255, 0.60929, -11.37995]","[2.76603, 8.31108, 3.26029]",-0.01,"[2.96556, 4.47179, -9.64981]","[7.5, 0, 0]","[1.58255, 0.60929, -11.37995]","[2.76603, 8.31108, 3.46029]",-0.01,"[2.96556, 4.47179, -9.64981]","[7.5, 0, 0]","[1.4318, 0.67122, -12.51694]","[3.66063, 9.14019, 3.80432]",-0.01,"[3.26212, 4.91897, -10.61479]","[7.5, 0, 0]"
front_left_hoof,bone,front_left_hoof,,,front_left_calf,,,,"[2.96556, 2.57016, -10.97259]",,,,,"[2.96556, 2.57016, -10.97259]",,,,,"[3.2028, 2.77577, -11.8504]",,,,,"[2.81728, 2.44165, -10.42396]",,,,,"[3.26212, 2.82718, -12.06985]",,,,,"[3.26212, 2.82718, -12.06985]",,,,,"[2.96556, 2.57016, -10.97259]",,,,,"[2.96556, 2.57016, -10.97259]",,,,,"[3.54978, 3.07648, -13.13419]",,,,,"[2.96556, 2.57016, -10.97259]",,,,,"[2.96556, 2.57016, -10.97259]",,,,,"[2.669, 2.31314, -9.87533]",,,,,"[3.55867, 3.08419, -13.16711]",,,,,"[3.09901, 2.68582, -11.46636]",,,,,"[3.55867, 3.08419, -13.16711]",,,,,"[2.37245, 2.05613, -8.77807]",,,,,"[2.37245, 2.05613, -8.77807]",,,,,"[2.81728, 2.44165, -10.42396]",,,,,"[3.11384, 2.69867, -11.52122]",,,,,"[2.00175, 1.73486, -7.4065]",,,,,"[2.96556, 2.57016, -10.97259]",,,,,"[2.96556, 2.57016, -10.97259]",,,,,"[3.26212, 2.82718, -12.06985]",
front_left_hoof_c1,cube,front_left_hoof,front_left_hoof_c1,1,front_left_hoof,"[1.38405, 0.00011, -13.54263]","[3.16303, 3.16304, 3.16304]",0.01,,,"[0.98405, 0.00011, -13.74263]","[3.56303, 3.36304, 3.56304]",0.01,,,"[1.59397, -0.00068, -14.42684]","[3.21768, 3.41768, 3.21768]",0.01,,,"[1.31535, 0.0006, -12.865]","[3.00388, 3.00389, 3.00389]",0.01,,,"[1.63146, -0.00088, -14.89789]","[3.26133, 3.26135, 3.26134]",0.01,,,"[1.41146, -0.00088, -14.89789]","[3.59133, 3.70135, 3.59134]",0.01,,,"[1.18405, 0.00011, -13.54263]","[3.36303, 3.36304, 3.36304]",0.01,,,"[1.48405, 0.00011, -13.54263]","[3.06303, 3.06304, 3.06304]",0.01,,,"[1.46473, -0.00184, -16.21249]","[3.98009, 3.7901, 3.98009]",0.01,,,"[1.48405, 0.00011, -13.54263]","[3.06303, 3.06304, 3.06304]",0.01,,,"[1.48405, 0.00011, -13.24263]","[2.96303, 2.86304, 2.86304]",0.01,,,"[1.24664, 0.0011, -12.18737]","[2.84473, 2.84474, 2.84474]",0.01,,,"[1.45886, -0.00187, -16.45316]","[3.99964, 3.79965, 3.99965]",0.01,,,"[1.65039, -0.00034, -13.9525]","[2.89726, 2.99729, 2.89728]",0.01,,,"[1.35886, -0.00187, -16.55316]","[4.09964, 4.09965, 4.09965]",0.01,,,"[1.20924, 0.00209, -10.4321]","[2.32642, 2.12643, 2.12643]",0.01,,,"[1.18924, 0.00209, -10.6721]","[2.36642, 2.36643, 2.36643]",0.01,,,"[1.41535, 0.0006, -12.565]","[2.80388, 2.80389, 2.70389]",0.01,,,"[1.55775, -0.00038, -13.90526]","[3.11218, 3.11219, 3.00719]",0.01,,,"[0.84749, 0.00332, -9.31802]","[2.30854, 2.12855, 2.30855]",0.01,,,"[1.48405, 0.00011, -13.24263]","[2.96303, 2.96304, 2.86304]",0.01,,,"[1.48405, 0.00011, -13.24263]","[2.96303, 2.96304, 2.86304]",0.01,,,"[1.32146, -0.00088, -15.39789]","[3.88133, 3.78134, 3.98134]",0.01,,
front_left_shoe,bone,front_left_shoe,,,front_left_hoof,,,,"[0, 16.80487, -1.18623]",,,,,"[0, 16.80487, -1.18623]",,,,,"[0, 18.14926, -1.28113]",,,,,"[0, 15.96463, -1.12692]",,,,,"[0, 18.48536, -1.30485]",,,,,"[0, 18.48536, -1.30485]",,,,,"[0, 16.80487, -1.18623]",,,,,"[0, 16.80487, -1.18623]",,,,,"[0, 20.11543, -1.41992]",,,,,"[0, 16.80487, -1.18623]",,,,,"[0, 16.80487, -1.18623]",,,,,"[0, 15.12438, -1.06761]",,,,,"[0, 20.16584, -1.42348]",,,,,"[0, 17.56109, -1.23961]",,,,,"[0, 20.16584, -1.42348]",,,,,"[0, 13.4439, -0.94898]",,,,,"[0, 13.4439, -0.94898]",,,,,"[0, 15.96463, -1.12692]",,,,,"[0, 17.64511, -1.24554]",,,,,"[0, 11.34329, -0.8007]",,,,,"[0, 16.80487, -1.18623]",,,,,"[0, 16.80487, -1.18623]",,,,,"[0, 18.48536, -1.30485]",
front_left_shoe_c1,cube,front_left_shoe,front_left_shoe_c1,1,front_left_shoe,"[1.3845, 0.00057, -13.54217]","[3.16213, 0.69082, 3.16212]",0.05,,,"[0.9845, 0.00057, -13.74217]","[3.56213, 0.69082, 3.56212]",0.05,,,"[1.49126, -0.00338, -14.62954]","[3.4231, 0.75408, 3.42309]",0.05,,,"[1.31777, 0.00304, -12.86256]","[2.99903, 0.65128, 2.99901]",0.05,,,"[1.62795, -0.00437, -14.90139]","[3.26834, 0.7699, 3.26834]",0.05,,,"[1.40795, -0.00437, -14.90139]","[3.59834, 0.7699, 3.59833]",0.05,,,"[1.1845, 0.00057, -13.54217]","[3.36213, 0.69082, 3.36212]",0.05,,,"[1.4845, 0.00057, -13.54217]","[3.06213, 0.69082, 3.06212]",0.05,,,"[1.4574, -0.00917, -16.21982]","[3.99476, 0.84661, 3.99475]",0.05,,,"[1.4845, 0.00057, -13.54217]","[3.06213, 0.69082, 3.06212]",0.05,,,"[1.3845, 0.00057, -13.54217]","[3.16213, 0.69082, 3.16212]",0.05,,,"[1.25105, 0.00551, -12.18295]","[2.83592, 0.61174, 2.8359]",0.05,,,"[1.4514, -0.00932, -16.4606]","[4.01456, 0.84899, 4.01454]",0.05,,,"[1.54905, -0.00165, -14.15382]","[3.09993, 0.7264, 3.09992]",0.05,,,"[1.3514, -0.00932, -16.5606]","[4.11456, 0.84899, 4.11454]",0.05,,,"[1.2176, 0.01046, -10.42374]","[2.3097, 0.53265, 2.1097]",0.05,,,"[1.1176, 0.01046, -10.82374]","[2.5097, 0.53266, 2.5097]",0.05,,,"[1.31778, 0.00304, -12.86256]","[2.99902, 0.65128, 2.99901]",0.05,,,"[1.45123, -0.0019, -14.22178]","[3.32524, 0.73036, 3.32523]",0.05,,,"[0.95078, 0.01664, -9.12472]","[2.10194, 0.4338, 2.10193]",0.05,,,"[1.3845, 0.00057, -13.34217]","[3.16213, 0.69082, 2.96212]",0.05,,,"[1.3845, 0.00057, -13.54217]","[3.16213, 0.69082, 3.16212]",0.05,,,"[1.51795, -0.00437, -14.90139]","[3.48834, 0.7699, 3.48833]",0.05,,
back_right_leg,bone,back_right_leg,,,body,,,,"[-3.45983, 21.74748, 8.39096]",,,,,"[-3.45983, 21.74748, 8.39096]",,,,,"[-3.73662, 23.48728, 9.06224]",,,,,"[-3.28684, 19.71011, 7.97141]",,,,,"[-3.80581, 23.92223, 9.23006]",,,,,"[-3.80581, 25.02223, 9.23006]",,,,,"[-3.45983, 20.74748, 8.39096]",,,,,"[-3.45983, 21.74748, 8.39096]",,,,,"[-4.14142, 26.03173, 10.04398]",,,,,"[-3.45983, 21.74748, 8.39096]",,,,,"[-3.45983, 21.74748, 8.39096]",,,,,"[-3.11385, 18.67273, 7.55186]",,,,,"[-4.1518, 27.29698, 10.06915]",,,,,"[-3.61552, 22.72612, 8.76856]",,,,,"[-4.1518, 25.09698, 10.06915]",,,,,"[-2.76786, 16.39798, 6.71277]",,,,,"[-2.76786, 17.39798, 6.71277]",,,,,"[-3.28684, 20.66011, 7.97141]",,,,,"[-3.63282, 22.83485, 8.81051]",,,,,"[-2.33538, 13.77955, 5.6639]",,,,,"[-3.45983, 22.34748, 8.39096]",,,,,"[-3.45983, 21.74748, 8.39096]",,,,,"[-3.80581, 22.92223, 9.23006]",
back_right_leg_c1,cube,back_right_leg,back_right_leg_c1,1,back_right_leg,"[-5.93101, 13.83942, 4.43698]","[4.94237, 10.87351, 8.40221]",0.01,,,"[-5.93101, 13.33942, 4.03698]","[5.34237, 11.37351, 8.80221]",0.01,,,"[-6.30629, 14.94577, 4.99114]","[5.13936, 11.74499, 8.87599]",0.01,,,"[-5.63396, 12.19795, 4.21563]","[4.69425, 10.32883, 7.9811]",0.01,,,"[-6.41511, 15.22236, 5.09968]","[5.21861, 11.96286, 9.02443]",0.01,,,"[-6.52511, 16.10236, 4.76968]","[5.54861, 12.18286, 9.35443]",0.01,,,"[-5.93101, 12.33942, 4.23698]","[5.14237, 11.37351, 8.60221]",0.01,,,"[-5.93101, 13.33942, 4.53698]","[4.84237, 11.07351, 8.30221]",0.01,,,"[-7.10139, 16.18382, 5.11909]","[6.10995, 13.39953, 10.25139]",0.01,,,"[-5.93101, 13.78942, 4.53698]","[4.84237, 10.87351, 8.30221]",0.01,,,"[-5.83101, 14.33942, 4.73698]","[4.74237, 10.37351, 8.10221]",0.01,,,"[-5.33691, 11.55648, 3.99428]","[4.44613, 9.78416, 7.55999]",0.01,,,"[-7.11921, 17.8053, 5.12238]","[6.13484, 13.05222, 10.28665]",0.01,,,"[-5.99385, 14.84174, 5.0452]","[4.75668, 10.98372, 8.3722]",0.01,,,"[-7.11921, 15.6053, 5.02238]","[6.23484, 13.05222, 10.38665]",0.01,,,"[-4.64281, 10.07354, 3.95158]","[3.7499, 8.6948, 6.31777]",0.01,,,"[-4.66281, 11.07354, 3.71158]","[3.7899, 8.69481, 6.55777]",0.01,,,"[-5.53396, 13.14795, 4.51563]","[4.49425, 10.32883, 7.6811]",0.01,,,"[-6.12306, 14.53089, 4.97333]","[4.98049, 11.41819, 8.50832]",0.01,,,"[-4.09018, 8.44486, 2.81822]","[3.5096, 7.33312, 5.84499]",0.01,,,"[-5.83101, 14.13942, 4.73698]","[4.74237, 11.17351, 8.10221]",0.01,,,"[-5.83101, 13.83942, 4.73698]","[4.74237, 10.87351, 8.10221]",0.01,,,"[-6.72511, 14.22236, 4.37968]","[5.83861, 11.96286, 9.74443]",0.01,,
back_left_calf,bone,back_left_calf,,,back_right_leg,,,,"[-3.45983, 15.88522, 11.10939]",,,,,"[-3.45983, 15.88522, 11.10939]",,,,,"[-3.73662, 17.15604, 11.99814]",,,,,"[-3.28684, 15.09096, 10.55392]",,,,,"[-3.80581, 17.47374, 12.22033]",,,,,"[-3.80581, 17.47374, 12.22033]",,,,,"[-3.45983, 15.88522, 11.10939]",,,,,"[-3.45983, 15.88522, 11.10939]",,,,,"[-4.14142, 19.01461, 13.29794]",,,,,"[-3.45983, 15.88522, 11.10939]",,,,,"[-3.45983, 15.88522, 11.10939]",,,,,"[-3.11385, 14.2967, 9.99845]",,,,,"[-4.1518, 19.06226, 13.33127]",,,,,"[-3.61552, 16.60005, 11.60931]",,,,,"[-4.1518, 19.06226, 13.33127]",,,,,"[-2.76786, 12.70818, 8.88751]",,,,,"[-2.76786, 12.70818, 8.88751]",,,,,"[-3.28684, 15.09096, 10.55392]",,,,,"[-3.63282, 16.67948, 11.66486]",,,,,"[-2.33538, 8.92252, 7.49884]",,,,,"[-3.45983, 15.88522, 11.10939]",,,,,"[-3.45983, 15.88522, 11.10939]",,,,,"[-3.80581, 17.47374, 12.22033]",
back_left_calf_c1,cube,back_left_calf,back_left_calf_c1,1,back_left_calf,"[-5.43687, 9.88522, 8.40243]","[3.95409, 6.91965, 5.43687]",0,,,"[-5.43687, 9.88522, 8.00243]","[4.35409, 6.91965, 5.83687]",0,,,"[-5.77182, 10.67604, 9.27462]","[4.07042, 7.47322, 5.67182]",0,,,"[-5.16503, 9.39096, 7.98231]","[3.75639, 6.57367, 5.16503]",0,,,"[-5.87056, 10.87374, 9.46267]","[4.1295, 7.61162, 5.76056]",0,,,"[-5.98056, 10.87374, 9.13267]","[4.4595, 8.71162, 6.09056]",0,,,"[-5.43687, 9.88522, 8.20243]","[4.15409, 6.91965, 5.63687]",0,,,"[-5.43687, 9.88522, 8.50243]","[3.85409, 6.91965, 5.33687]",0,,,"[-6.50794, 11.83261, 9.86771]","[4.92305, 8.28282, 6.69793]",0,,,"[-5.43687, 9.88522, 8.50243]","[3.85409, 6.91965, 5.33687]",0,,,"[-5.33687, 9.88522, 8.70243]","[3.75409, 6.91965, 5.13687]",0,,,"[-4.89318, 8.8967, 7.56219]","[3.55868, 6.22768, 4.89318]",0,,,"[-6.52424, 11.86226, 9.88292]","[4.9449, 8.90358, 6.72424]",0,,,"[-5.47703, 10.33005, 9.48954]","[3.72302, 7.23104, 4.97253]",0,,,"[-6.52424, 11.86226, 9.78292]","[5.0449, 8.30358, 6.82424]",0,,,"[-4.2495, 7.90818, 7.12194]","[2.96328, 5.53572, 3.9495]",0,,,"[-4.2695, 7.90818, 6.88194]","[3.00327, 5.53572, 4.1895]",0,,,"[-5.06503, 9.39096, 8.28231]","[3.55639, 6.57367, 4.86503]",0,,,"[-5.60371, 10.37948, 9.13755]","[3.94179, 7.26563, 5.39371]",0,,,"[-3.75989, 6.67253, 5.49164]","[2.84901, 4.67076, 3.84989]",0,,,"[-5.33687, 9.88522, 8.70243]","[3.75409, 7.91965, 5.13687]",0,,,"[-5.33687, 9.88522, 8.70243]","[3.75409, 6.91965, 5.13687]",0,,,"[-6.18056, 10.87374, 8.74267]","[4.7495, 7.61162, 6.48056]",0,,
back_left_calf_c2,cube,back_left_calf,back_left_calf_c2,2,back_left_calf,"[-4.94261, 1.97704, 10.37948]","[2.96557, 7.90818, 3.45982]",0,,,"[-4.94261, 1.97704, 9.97948]","[3.36557, 7.90818, 3.85982]",0,,,"[-5.23802, 2.1352, 11.40984]","[3.00282, 8.54084, 3.5366]",0,,,"[-4.69548, 1.87819, 9.86051]","[2.81729, 7.51277, 3.28683]",0,,,"[-5.32687, 2.17474, 11.63743]","[3.04213, 8.699, 3.5858]",0,,,"[-5.43687, 2.17474, 11.30743]","[3.37213, 8.699, 3.9158]",0,,,"[-4.94261, 1.97704, 10.17948]","[3.16557, 7.90818, 3.65982]",0,,,"[-4.94261, 1.97704, 10.47948]","[2.86557, 7.90818, 3.35982]",0,,,"[-5.91631, 2.36652, 12.23423]","[3.73979, 9.46609, 4.33141]",0,,,"[-4.94261, 1.97704, 10.47948]","[2.86557, 7.90818, 3.35982]",0,,,"[-4.84261, 1.97704, 10.67948]","[2.76557, 7.90818, 3.15982]",0,,,"[-4.44835, 1.77934, 9.34153]","[2.66901, 7.11736, 3.11384]",0,,,"[-5.93113, 2.37245, 12.25538]","[3.75868, 9.48981, 4.35178]",0,,,"[-4.96053, 2.066, 11.25556]","[2.69003, 8.26405, 3.20651]",0,,,"[-5.93113, 2.37245, 12.15538]","[3.85868, 9.48981, 4.45178]",0,,,"[-3.85409, 1.58163, 8.70358]","[2.17246, 6.32655, 2.36786]",0,,,"[-3.87409, 1.58163, 8.46358]","[2.21246, 6.32654, 2.60786]",0,,,"[-4.59548, 1.87819, 10.16051]","[2.61729, 7.51277, 2.98683]",0,,,"[-5.08474, 2.07589, 11.21345]","[2.90385, 8.30359, 3.31781]",0,,,"[-3.42626, 1.3345, 6.82615]","[2.18176, 5.33803, 2.51537]",0,,,"[-4.84261, 1.97704, 10.67948]","[2.76557, 7.90818, 3.15982]",0,,,"[-4.84261, 1.97704, 10.67948]","[2.76557, 7.90818, 3.15982]",0,,,"[-5.63687, 2.17474, 10.91743]","[3.66213, 8.699, 4.3058]",0,,
back_right_feathering,bone,back_right_feathering,,,back_left_calf,,,,"[-3.06556, 8.66952, 12.75514]",,,,,"[-3.06556, 8.66952, 12.75514]",,,,,"[-3.3108, 9.36308, 13.77555]",,,,,"[-2.91228, 8.23604, 12.11738]",,,,,"[-3.37212, 9.53647, 14.03065]",,,,,"[-3.37212, 9.53647, 14.03065]",,,,,"[-3.06556, 8.66952, 12.75514]",,,,,"[-3.06556, 8.66952, 12.75514]",,,,,"[-3.66948, 10.37742, 15.26791]","[2.5, 0, 0]",,,,"[-3.06556, 8.66952, 12.75514]",,,,,"[-3.06556, 8.66952, 12.75514]",,,,,"[-2.759, 7.80257, 11.47963]",,,,,"[-3.67867, 10.40342, 15.30617]",,,,,"[-3.20351, 9.05965, 13.32912]",,,,,"[-3.67867, 10.40342, 15.30617]","[2.5, 0, 0]",,,,"[-2.45245, 6.93562, 10.20411]",,,,,"[-2.45245, 6.93562, 10.20411]",,,,,"[-2.91228, 8.23604, 12.11738]",,,,,"[-3.21884, 9.103, 13.3929]",,,,,"[-2.06925, 5.85193, 8.60972]",,,,,"[-3.06556, 8.66952, 12.75514]",,,,,"[-3.06556, 8.66952, 12.75514]",,,,,"[-3.37212, 9.53647, 14.03065]",
